relname,rls_enabled,force_rls,has_organization_id,has_user_col,policies,cmds,anon_select,authenticated_grant,service_role_grant
crm_dynamic_dashboard_runtime_logs,t,f,f,t,1,SELECT,f,f,f
crm_feature_flags,t,f,f,f,2,ALL|SELECT,f,f,f
crm_permission_roles,t,f,f,f,2,ALL|SELECT,f,f,f
crm_user_context_backfill_logs,t,f,f,t,2,ALL|SELECT,f,f,f
crm_user_context_change_logs,t,f,f,t,2,INSERT|SELECT,f,f,f
crm_user_contexts,t,f,f,t,2,ALL|SELECT,f,f,f
cs_health_metrics,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
custom_field_groups,t,f,t,f,1,ALL,f,f,f
custom_field_values,t,f,t,f,2,ALL|SELECT,f,f,f
custom_fields,t,f,t,f,1,ALL,f,f,f
custom_form_values,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
custom_forms,t,f,t,f,4,ALL|DELETE|INSERT|UPDATE,f,f,f
daily_activity_log,t,f,t,t,2,ALL|SELECT,f,f,f
daily_briefings,t,f,t,t,4,INSERT|SELECT,f,f,f
daily_digest_cache,t,f,f,t,2,ALL|SELECT,f,f,f
daily_digest_runs,t,f,f,t,2,ALL|SELECT,f,f,f
dashboard_preferences,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
deal_participants,t,f,t,t,3,ALL|SELECT,f,f,f
decision_logs,t,f,t,f,1,SELECT,f,f,f
decision_rules,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
dedupe_registry,t,f,t,f,1,ALL,f,f,f
deletion_alerts,t,f,t,f,3,SELECT|UPDATE,f,f,f
demo_slots,t,f,t,f,2,ALL|SELECT,f,f,f
diagnostic_results,t,f,t,f,2,INSERT|SELECT,f,f,f
dismissed_tips,t,f,f,t,2,INSERT|SELECT,f,f,f
disposable_email_domains,t,f,f,f,1,SELECT,f,f,f
dynamic_missions,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
dynamic_variables,t,f,t,f,2,ALL|SELECT,f,f,f
email_send_log,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
email_send_state,t,f,f,f,1,ALL,f,f,f
email_sync_config,t,f,t,t,1,ALL,f,f,f
email_templates,t,f,t,f,3,ALL|SELECT,f,f,f
email_unsubscribe_tokens,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
enriched_company_profiles,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
enriched_contact_profiles,t,f,f,f,2,INSERT|SELECT,f,f,f
enrichment_jobs,t,f,f,f,1,SELECT,f,f,f
enrichment_normalized,t,f,t,f,2,INSERT|SELECT,f,f,f
enrichment_provider_results,t,f,f,f,2,INSERT|SELECT,f,f,f
enrichment_raw_sources,t,f,t,f,2,INSERT|SELECT,f,f,f
enrichment_runs,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
enrichment_signals,t,f,f,f,2,INSERT|SELECT,f,f,f
entity_snapshots,t,f,t,f,6,DELETE|INSERT|SELECT,f,f,f
evaluation_rubrics,t,f,t,f,2,ALL|SELECT,f,f,f
eventrix_inventory_integration_settings,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
eventrix_inventory_sync_cache,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
experiment_hypotheses,t,f,t,f,1,SELECT,f,f,f
experiment_results,t,f,t,f,1,SELECT,f,f,f
experiment_runs,t,f,t,f,1,SELECT,f,f,f
experiment_variants,t,f,t,f,1,SELECT,f,f,f
export_logs,t,f,t,f,2,INSERT|SELECT,f,f,f
export_templates,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
feature_flags,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
fit_score_config,t,f,t,f,2,ALL|SELECT,f,f,f
forecast_calculation_items,t,f,t,f,1,SELECT,f,f,f
forecast_calculation_runs,t,f,t,f,1,SELECT,f,f,f
forecast_daily_snapshots,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
forecast_predictions,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
forecast_snapshot_job_logs,t,f,t,f,2,INSERT|SELECT,f,f,f
forecast_snapshots,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
forecast_v2_health_logs,t,f,t,f,2,INSERT|SELECT,f,f,f
gate_executions,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
graph_builds,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
graph_edges,t,f,t,f,2,ALL|SELECT,f,f,f
graph_insights,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
graph_nodes,t,f,t,f,2,ALL|SELECT,f,f,f
headless_humanoid_test_results,t,f,t,f,2,ALL|SELECT,f,f,f
headless_humanoid_test_runs,t,f,t,f,2,ALL|SELECT,f,f,f
health_score_drivers,t,f,t,f,2,ALL|SELECT,f,f,f
help_articles,t,f,f,f,1,SELECT,f,f,f
holidays,t,f,t,f,2,ALL|SELECT,f,f,f
icp_profiles,t,f,t,f,1,ALL,f,f,f
import_logs,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
industries,t,f,t,f,3,ALL|SELECT,f,f,f
interactions,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
inventory_categories,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
inventory_families,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
inventory_items,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
inventory_locations,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
inventory_movements,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
inventory_operation_events,t,f,t,f,2,INSERT|SELECT,f,f,f
inventory_pre_reservation_allocations,t,f,t,f,2,ALL|SELECT,f,f,f
inventory_pre_reservation_items,t,f,t,f,2,ALL|SELECT,f,f,f
inventory_pre_reservations,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
inventory_pricing_rules,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
inventory_reservation_allocations,t,f,t,f,2,ALL|SELECT,f,f,f
inventory_reservation_items,t,f,t,f,2,ALL|SELECT,f,f,f
inventory_reservations,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
inventory_status_history,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
ip_trial_attempts,t,f,f,f,1,ALL,f,f,f
kairos_batch_logs,t,f,t,f,2,INSERT|SELECT,f,f,f
kairos_batch_run_items,t,f,t,f,2,ALL|SELECT,f,f,f
kairos_batch_runs,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
kairos_company_intelligence,t,f,t,f,2,ALL|SELECT,f,f,f
kairos_coverage_analysis,t,f,t,f,2,ALL|SELECT,f,f,f
kairos_gtm_recommendations,t,f,t,f,3,ALL|SELECT|UPDATE,f,f,f
kairos_qualified_queue,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
kairos_revenue_attribution,t,f,t,f,2,ALL|SELECT,f,f,f
kairos_sdr_copilot_tasks,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
lead_emotional_memory,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
lead_score_ai_analysis,t,f,t,f,2,ALL|SELECT,f,f,f
lead_score_org_weights,t,f,t,f,3,ALL|SELECT|UPDATE,f,f,f
lead_score_recalc_queue,t,f,t,f,1,SELECT,f,f,f
lead_search_results,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
lead_searches,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
lead_segment_benchmarks,t,f,t,f,2,ALL|SELECT,f,f,f
lead_sources,t,f,t,f,1,ALL,f,f,f
learning_queue,t,f,t,f,1,SELECT,f,f,f
learning_signals,t,f,t,f,1,SELECT,f,f,f
loss_reasons,t,f,t,f,1,ALL,f,f,f
loss_semantic_analyses,t,f,t,f,1,SELECT,f,f,f
mcp_audit_logs,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_permissions,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_prompts,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_registry_settings,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_resources,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_servers,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_tool_invocations,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
mcp_tools,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
measurement_units,t,f,t,f,2,ALL,f,f,f
memories,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
memory_reads,t,f,t,t,2,INSERT|SELECT,f,f,f
missions,t,f,t,f,2,ALL|SELECT,f,f,f
noid_skill_feedback,t,f,t,f,2,INSERT|SELECT,f,f,f
noid_skill_runs,t,f,t,f,2,INSERT|SELECT,f,f,f
noid_skills,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
notification_dedup_keys,t,f,t,f,1,ALL,f,f,f
notification_delivery_logs,t,f,f,f,1,SELECT,f,f,f
notification_events,t,f,t,f,1,SELECT,f,f,f
notification_settings,t,f,f,t,1,ALL,f,f,f
notifications,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
notifications_v2,t,f,f,t,2,SELECT|UPDATE,f,f,f
nrhs_events,t,f,t,t,2,INSERT|SELECT,f,f,f
nrhs_learning_signals,t,f,t,f,1,SELECT,f,f,f
nrhs_recalc_queue,t,f,t,f,2,INSERT|SELECT,f,f,f
oauth_nonces,t,f,f,t,1,ALL,f,f,f
onboarding_status,t,f,f,t,3,INSERT|SELECT|UPDATE,f,f,f
opportunities,t,f,t,t,6,DELETE|INSERT|SELECT|UPDATE,f,f,f
opportunities_weekly_review,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
opportunity_emails,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
opportunity_files,t,f,t,f,3,DELETE|INSERT|SELECT,f,f,f
opportunity_indicators_recalc_queue,t,f,t,f,1,SELECT,f,f,f
opportunity_notes,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
opportunity_owner_history,t,f,t,f,1,SELECT,f,f,f
opportunity_public_forms,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
opportunity_qualification_history,t,f,t,f,1,SELECT,f,f,f
opportunity_score_recalc_queue,t,f,t,f,1,SELECT,f,f,f
opportunity_stage_history,t,f,t,f,1,SELECT,f,f,f
opportunity_tags,t,f,t,f,3,DELETE|INSERT|SELECT,f,f,f
optimization_actions_log,t,f,t,f,1,SELECT,f,f,f
optimization_insights,t,f,t,f,1,SELECT,f,f,f
optimization_recommendations,t,f,t,f,2,SELECT|UPDATE,f,f,f
org_billing_snapshots,t,f,t,f,2,ALL|SELECT,f,f,f
org_volts_balance,t,f,t,f,2,SELECT|UPDATE,f,f,f
organization_billing_status,t,f,t,f,2,ALL|SELECT,f,f,f
organization_feature_flags,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
